id;start_date;end_date;language
1;2023-12-30T14:38:42;2023-12-30T14:00:45;SPANISH
2;2023-12-30T17:26:21;2023-12-30T17:28:02;ENGLISH
3;2023-12-30T23:31:00;2023-12-31T06:22:00;SPANISH
4;2023-12-30T13:49:07;2023-12-31T01:08:59;FRENCH
5;2023-12-30T12:40:29;2023-12-31T03:33:51;FRENCH
6;2023-12-30T10:50:22;2023-12-31T04:34:27;FRENCH
7;2023-12-30T16:37:41;2023-12-30T10:49:28;SPANISH
8;2023-12-30T23:08:14;2023-12-31T04:14:28;SPANISH
9;2023-12-30T14:34:34;2023-12-30T11:54:00;ENGLISH
10;2023-12-31T09:31:55;2023-12-30T17:23:10;ENGLISH
