id;street_address;postal_code;city;state_province
1;junker;steel;Deloreshaven;because after
2;psst;pace;Harberstead;notebook eventually
3;drat;barren;East Gunner;courageous consequently
4;rightfully even;badger overjoyed;Altoona;oh beneath yum
5;ack gadzooks;awkwardly despite;North Kobe;brr
6;bah left uh-huh;drip judgementally thankful;Chanelleberg;fatally fillet duh
7;over;altruistic medium consequently;Fisherstead;glamorize under
8;truly;outside vaguely;Lake Mario;yippee format disperse
9;resale definitive;winding boohoo phew;Fort Anaisview;chaos trowel
10;when mid in;promptly when;Creminville;careful
